datetime,X_gyro,Y_gyro,Z_gyro,X_acc,Y_acc,Z_acc,X_comp,Y_comp,Z_comp,BPM,Label
37:21.0,0.050605398,-0.131857514,0.267563343,0.090820313,0.138183594,0.986572266,-5604.280762,2826.862793,5755.733887,96,1
37:21.2,-0.132263139,0.285155892,0.095109746,0.022216797,-0.016113281,1.002929688,-5604.657227,2830.477051,5753.765625,96,1
37:21.4,-0.253584802,0.451175004,-0.431681693,-0.070800781,0.021972656,0.969238281,-5611.691406,2829.790283,5754.237305,96,1
37:21.6,-0.727164984,0.323468,-0.482232392,-0.029541016,-0.047119141,1.094238281,-5623.557617,2828.124268,5756.201172,96,1
37:21.8,0.471152484,0.168623239,0.00092582,-0.309814453,-0.043457031,1.429199219,-5639.316895,2820.251221,5760.804199,96,1
37:22.0,0.838310182,-0.475765049,0.404799223,-0.121582031,-0.199462891,1.122558594,-5638.520996,2824.033691,5758.233887,96,1
37:22.2,-0.010941469,0.094659589,0.304762065,-0.062011719,-0.094970703,0.874267578,-5620.576172,2828.685547,5753.549805,96,1
37:22.4,-0.362667859,0.117540427,-0.382195234,-0.150634766,0.100097656,0.947998047,-5613.271484,2827.541992,5754.309082,96,1
37:22.6,-0.217259288,0.10130915,-0.008898899,-0.043457031,0.089355469,1.020507813,-5615.105469,2824.346191,5757.098633,76,1
37:22.8,0.058907114,0.00872157,0.021431517,-0.11328125,0.136230469,0.952636719,-5623.224121,2822.48291,5759.165039,76,1
37:23.0,0.154284567,-0.265974879,0.184883639,-0.075683594,0.091064453,0.844970703,-5616.898438,2823.346924,5758.771973,76,1
37:23.2,0.353826791,-0.211699426,-0.130659103,-0.015869141,0.104248047,0.927734375,-5610.776855,2826.130615,5756.341797,76,1
37:23.4,0.1602965,0.110649094,-0.107284091,-0.002685547,0.030273438,1.041748047,-5608.456543,2829.732666,5754.627441,76,1
37:23.6,-0.169236571,0.29708004,-0.048824582,-0.030029297,0.103759766,1.069824219,-5617.500488,2829.779785,5753.015625,68,1
37:23.8,-0.251714021,0.321557224,-0.213779479,-0.063964844,0.027832031,0.9921875,-5619.65332,2829.180176,5753.94873,68,1
37:24.0,-0.410815686,-0.326023757,-0.348936051,-0.217041016,0.012451172,1.291503906,-5629.708496,2828.099609,5754.620605,68,1
37:24.2,0.650748849,-0.216940686,0.340149701,-0.037353516,0.286865234,1.402587891,-5626.744141,2829.748047,5754.918945,68,1
37:24.4,-0.039933227,-0.078591421,0.426884025,0.046142578,0.157714844,1.016357422,-5618.116699,2832.408936,5752.164063,68,1
37:24.6,-0.622064352,-0.04666467,-0.074898094,-0.120605469,-0.018066406,0.962158203,-5611.904297,2830.678467,5753.456543,63,1
37:24.8,-1.819317579,-0.288243771,0.879711807,0.049560547,1.070800781,1.422363281,-5606.99707,2826.032959,5756.915527,63,1
37:25.0,0.082690462,-0.054066844,-0.125714764,-0.081298828,0.233642578,0.907958984,-5614.689941,2820.369141,5760.922852,63,1
37:25.2,0.36520502,0.044760022,0.026966348,-0.046386719,-0.161865234,0.927978516,-5615.777832,2821.538818,5758.950684,63,1
37:25.4,0.402985036,-0.10742417,-0.111915022,-0.064697266,0.072998047,0.773925781,-5616.479492,2826.544922,5756.337891,63,1
37:25.6,-0.330973715,0.277143449,0.216149166,-0.082519531,-0.016601563,1.127441406,-5622.938477,2827.265381,5754.609863,69,1
37:25.8,-0.203266695,0.185620084,0.169323251,-0.086914063,0.034667969,1.145263672,-5624.725586,2827.891113,5755.068848,69,1
37:26.0,0.110711753,0.215651289,-0.095703535,-0.055419922,0.117919922,1.349121094,-5626.30127,2828.04126,5755.151367,69,1
37:26.2,0.534273326,-0.404791951,-0.02440045,-0.166992188,0.12890625,1.197753906,-5628.989258,2828.750977,5753.714355,69,1
37:26.4,-0.23675774,-0.044551741,0.129912183,-0.110351563,0.123779297,1.010986328,-5618.526367,2832.885742,5751.108398,69,1
37:26.6,-0.7954759,-0.277084947,-0.429870188,-0.080078125,0.245117188,0.911621094,-5612.768555,2830.167969,5753.196777,71,1
37:26.8,-0.285179973,0.252367049,-0.036106925,-0.033935547,0.066650391,0.768066406,-5616.763184,2824.729004,5757.224121,71,1
37:27.0,-0.010077797,-0.066368356,-0.130290851,-0.075195313,-0.088134766,0.916259766,-5617.096191,2822.206299,5758.940918,71,1
37:27.2,-0.004569283,-0.062520973,0.065265089,-0.011474609,0.077392578,1.00390625,-5614.694824,2822.579102,5758.702637,71,1
37:27.4,0.368109345,-0.077106044,0.014148274,0,0.002929688,0.817138672,-5615.768066,2824.105957,5757.317871,71,1
37:27.6,0.363852441,-0.035069149,-0.120476201,-0.130126953,-0.028076172,0.955322266,-5617.8125,2826.351318,5755.771973,72,1
37:27.8,-0.125158966,0.353905112,0.084919244,-0.017333984,-0.020996094,1.135009766,-5619.08252,2827.964844,5753.642578,72,1
37:28.0,0.082059905,0.227575257,-0.052257948,-0.062744141,0.166015625,1.008056641,-5620.11084,2830.133301,5753.043457,72,1
37:28.3,0.012947943,-0.140235394,-0.157567784,-0.200927734,0.249267578,1.343505859,-5627.655273,2831.105469,5753.063477,72,1
